Character,Quote
Quake,"Your tremble means you’re alive, not that you’re broken."
Quake,Shaking doesn’t mean collapse — it means you’re ready to ground yourself.
Quake,Every quake is a chance to build stronger foundations.
Quake,Wobbly steps are still steps forward.
Quake,"You can hold steady, even while the world shakes."
Quake,"Fear shakes loud, but courage holds steady."
Quake,Earthquakes don’t last forever — neither will this storm.
Quake,Even cracks can grow flowers.
Quake,Strength isn’t the absence of tremors — it’s learning to move through them.
Quake,"Quakes pass, but you remain."
Harbor,Even storms rest when they reach the harbor.
Harbor,Your calm is your anchor; let it steady you.
Harbor,Still waters hold strength too.
Harbor,Peace isn’t weakness — it’s preparation.
Harbor,Harbors remind us: you don’t have to sail all the time.
Harbor,Quiet is where your answers hide.
Harbor,Rest is the rhythm that keeps you going.
Harbor,Anchors aren’t just heavy — they’re grounding.
Harbor,"Safety is not a pause, it’s a gift."
Harbor,Be the harbor you wish you could find.
Static,The buzz only wins if you never turn the dial.
Static,"Noise is a distraction, not a direction."
Static,Static fades when you focus on your true signal.
Static,Every frequency has clarity waiting underneath.
Static,You can’t hear yourself if you never tune out the noise.
Static,Clarity hides beneath the clutter.
Static,Silence isn’t empty — it’s clear.
Static,Confusion is loud; truth whispers.
Static,"Static is temporary, but your signal is permanent."
Static,You are not the noise.
North,The path is already inside you — follow it.
North,"True north is found, not given."
North,Direction matters more than speed.
North,"The compass doesn’t shout, it whispers."
North,You already know the way — trust it.
North,Getting lost is how you learn the map.
North,"North isn’t a place, it’s a knowing."
North,Don’t confuse movement with direction.
North,"Even when the stars hide, your compass works."
North,Your steps align when your purpose does.
Pinch,Holding too tight makes what you fear slip away faster.
Pinch,"Scarcity shrinks, trust expands."
Pinch,"Loosen your grip, and you’ll see there’s enough."
Pinch,Fear is the tightest prison — release is the key.
Pinch,There’s freedom in knowing you don’t have to clutch everything.
Pinch,Greed locks doors; trust opens them.
Pinch,You don’t own security by squeezing it.
Pinch,"The tighter the fist, the less you can hold."
Pinch,"Fear hoards, but trust multiplies."
Pinch,Enough starts with belief.
Plenty,Overflow is meant to be shared.
Plenty,Generosity multiplies what you give.
Plenty,"The more you open your hand, the more you’ll hold."
Plenty,"Abundance is a mindset, not just a number."
Plenty,What’s enough grows when you believe it.
Plenty,"Plenty doesn’t brag, it provides."
Plenty,Giving is the proof of having.
Plenty,There is more in community than in hoarding.
Plenty,The universe doesn’t ration possibility.
Plenty,Scarcity is a lie — there’s plenty here.
